delivery_id,predicted_duration
99834,1970.1244648710258
240577,2100.550719071929
34717,2080.985400685424
228294,2193.8744831930867
104625,2051.3606269931847
190045,1979.6140556999499
134024,2068.776651785429
61774,2089.255145000298
14195,1659.4611631844843
128981,2094.3727821398716
218445,1710.7229045206873
80990,2100.7049678270905
37172,3140.4235647877867
6910,1651.5064541746933
34837,2036.5019709527887
201788,2090.961814023638
181532,1991.0407524707812
237740,1994.748051676383
53773,2094.3727821398716
130322,1815.6993083156458
122002,2058.165757566028
9971,2076.2151425159705
4821,2097.659506235901
79733,2073.1139372369275
1515,2093.315013642939
69003,2071.240311647596
43152,1997.9999568022458
35567,3059.56275003457
110102,2060.7092404720106
221938,1688.3299224178586
150574,2080.488200988033
59445,2056.6919821062183
41595,3053.627713883945
165894,2113.2893710990284
57774,1697.5782575552132
96943,1999.5406000327241
116984,2010.810655183038
151779,2014.9900645333582
201314,2054.2786574874817
181992,2102.458862194126
101342,1797.8212555645844
206133,2005.9256013818633
240258,2094.5966928115167
5434,2061.560881715562
5084,1995.6774186916575
245792,2999.474627626148
225804,1659.4611631844843
211544,1963.4044478887154
238577,1838.407918839336
54403,2061.560881715562
54592,2011.0256992905086
47048,2022.3263038733555
97998,2086.2130073571475
113172,3070.5496185335423
217955,2085.97179758066
132017,2100.550719071929
38088,1962.9202171136137
111756,3149.1230352860316
34726,1953.9148570597913
149933,1972.1284116866952
168442,1660.9388782753178
244514,3107.5799394437513
93582,1652.4257797984706
223634,3044.629425015344
188030,2074.2834799173115
225140,2124.4339932477
234643,2058.4148049709192
206974,1902.1618564418734
141126,1658.7385382655407
50103,1839.7451064328845
96866,2093.9780460458446
194695,2109.5794025316704
2291,1687.9229772040715
129616,2102.458862194126
206421,2061.836672233604
79549,2011.7045367416258
33242,2080.34929253616
26023,1813.3255034340057
172188,2094.845185451863
207133,2061.836672233604
77670,2095.3451810255065
142398,2036.6747599940368
56212,2094.845185451863
43025,1668.1709623661652
242531,1988.2315972012777
117409,1713.4862892777446
105582,2076.347322352417
30865,1990.553095285595
25801,1815.6993083156458
29576,2090.696276799454
10732,1902.1618564418734
19034,3044.8077039910713
209341,2061.560881715562
147210,1710.7229045206873
221248,2084.345411987174
103219,2056.275221730637
251576,1905.8573564418734
50288,2104.989580753063
180984,2093.244933798767
64737,1989.168629454908
199231,3058.7602840107397
19169,2072.67354936997
230091,3077.4955716183404
27682,3138.790059051744
219453,2071.240311647596
93638,1976.1053079425374
24488,2100.4436438790517
23059,2068.4716437168986
223796,2011.4820871911613
14443,2078.584023858527
22105,2068.246947400241
225659,1987.1707159274554
136290,2080.388514804886
64294,2056.6919821062183
41926,3149.1230352860316
189014,1638.7027980498926
151985,1986.215443196722
51578,1684.4480485628887
71121,1853.1947359222374
17229,2056.6919821062183
1660,1975.646803518772
175748,2071.240311647596
67403,2034.2961400733022
38615,2181.5555533013644
142090,2072.67354936997
185387,1953.9148570597913
96666,1942.7727080881514
68408,3051.6221717923036
166343,2106.0661489235517
149178,3031.099133750714
235559,1988.6500998268075
129570,2092.6763708023323
46515,2075.2453318792245
53527,1989.168629454908
39206,1801.3640750136183
175028,2064.743483146539
166855,1667.0932967064844
131559,1995.7607035188207
19618,2109.5794025316704
17949,2054.2786574874817
26443,3045.684066450109
8156,1638.7944609867745
17334,2047.9510595284564
158179,1902.5738078005154
201042,2095.3451810255065
241741,1977.6121531633999
30790,2076.09795506763
138890,2010.810655183038
214834,2178.3701109091276
116776,1775.6512723268988
244031,2076.2396061524773
22948,3031.099133750714
242873,2073.1542409342874
237094,3069.8382399830884
103577,2084.345411987174
235962,2124.7349452739277
153122,1999.305196523952
232536,2086.2130073571475
74704,2075.273623858527
110465,2061.836672233604
231210,2187.0410324086774
224094,2087.064429777615
86034,1971.9583915083883
157061,2022.065114823679
74550,1585.1161467980774
116123,2086.2130073571475
54632,2125.9651981055
236529,2061.560881715562
99682,2076.2396061524773
87905,2025.1242857088268
102637,2932.9710059798513
33727,2093.315013642939
51227,2015.146808627487
213171,3070.5496185335423
41582,2119.3732230456485
106576,1999.3937420187235
11845,2006.301275985038
7300,2043.681146763025
101724,2025.1242857088268
203662,2080.985400685424
58942,3149.1230352860316
148671,1997.9804847541013
140445,3096.055384185366
28120,1652.767098594178
25514,2068.246947400241
107134,2106.0661489235517
80066,1996.0270668398052
198595,2061.836672233604
33805,2085.97179758066
28679,2094.9578094030453
89112,2078.584023858527
79538,1994.748051676383
186325,1978.4796006597594
158782,2068.246947400241
10050,2087.064429777615
159451,2002.0074756940057
233839,1976.1053079425374
191522,1953.9148570597913
94329,1675.0156244622638
153739,1905.8573564418734
228496,2064.3845001766645
221595,2017.4757848740671
5668,3079.852594267351
88438,1635.442961819783
164574,2131.2291744640565
185719,1676.7852999588792
228065,2040.4288203822712
184869,2096.5238272235556
183764,2068.826987028859
240633,1950.2193570597913
122167,2079.659387855923
162268,2061.560881715562
20640,2094.5966928115167
162716,2064.550308532659
35963,2061.560881715562
153181,1976.1053079425374
57564,2080.985400685424
164110,1977.8774855479408
143295,1638.8707216923322
135236,3268.8944618244414
216966,2080.985400685424
212052,1997.9804847541013
204221,2071.240311647596
223334,2081.188765321989
133183,2111.559476350795
214192,1807.3751568035436
144144,2199.5230285712714
141328,3045.684066450109
66724,2068.246947400241
244519,2104.8293550838066
219565,2178.623621720928
53189,2087.064429777615
106354,2094.9578094030453
228584,1982.1242146220354
22253,1970.1080256172072
172179,2094.0671443937676
33303,2068.246947400241
241136,2192.5501998726913
7615,2008.589133054034
196325,1999.305196523952
188803,2078.584023858527
157119,2011.935825894957
137758,2021.4491579110463
126123,2060.7092404720106
9251,2090.8089007506364
83033,1813.3255034340057
15826,1962.9202171136137
239861,1604.2272483252618
18106,2067.3232074234625
155916,2090.961814023638
89455,3066.280299515269
86443,2061.836672233604
56982,2068.246947400241
156005,2069.7969018066697
19106,2113.2893710990284
152375,1995.7760703946817
117483,1739.3830188511042
172798,2199.5230285712714
169185,2059.2996015797344
65361,2076.09795506763
7572,2013.2354286643028
237493,3063.589943358438
200738,2047.7368064495897
229128,2028.0359832312831
38780,2021.8248325142206
80784,1966.6157171136133
146832,3070.5496185335423
123357,1839.7451064328845
141668,1977.2873098813354
231790,2078.584023858527
42340,1962.9202171136137
206516,2027.8377766986437
114441,2026.1396513679088
217911,2058.835473863605
16016,1584.4500459702645
33990,1990.0321459384247
108122,1661.1068019177574
23773,2101.7447992114608
32555,1705.9392158217163
64417,1648.6659611396924
149361,2092.79584091764
6917,1815.6993083156458
111574,2058.835473863605
48689,1995.950383342596
80992,2026.1396513679088
243601,2078.584023858527
237700,1679.6629350850449
205851,1815.6993083156458
190812,1751.543484087893
21766,2109.8018516724833
74495,1933.5638901103719
134565,1756.8433091302954
49251,1648.6659611396924
86593,2094.823476191789
188620,1697.5782575552132
97991,2078.726675921444
70523,2077.9242563228945
208070,1651.6743778171326
60874,2108.188628940236
80408,2134.6969016019684
140408,1982.1242146220354
80186,2023.7854658065073
121175,2088.2613932062436
86843,1992.4572958443425
15185,2093.244933798767
136968,3062.335609562142
69156,2096.0354546592903
88165,2197.233865621247
125015,2003.4999304041507
116276,2095.3451810255065
215238,2916.353230990724
